STATION,LATITUDE,LONGITUDE,ALTIUDE,NAME
58265,32.07 ,121.60 ,9.6 ,吕泗
58266,32.13 ,121.62 ,100.0 ,吕泗
58268,32.10 ,121.08 ,5.4 ,南通县
58269,31.80 ,121.67 ,8.7 ,启东
58301,31.80 ,115.38 ,79.1 ,商城
58305,31.52 ,115.62 ,178.8 ,南溪
58306,31.68 ,115.88 ,94.0 ,金寨
58311,31.75 ,116.50 ,60.4 ,六安
58314,31.40 ,116.32 ,72.7 ,霍山
58316,31.47 ,116.95 ,29.4 ,舒城
58317,30.87 ,116.37 ,431.0 ,岳西
58319,31.07 ,116.95 ,81.8 ,桐城
58320,31.73 ,117.13 ,22.7 ,肥西
58321,31.87 ,117.23 ,36.5 ,合肥
58323,31.88 ,117.47 ,26.9 ,肥东
58326,31.95 ,117.87 ,23.6 ,巢湖
58327,31.25 ,117.28 ,21.5 ,庐江
58329,31.32 ,117.90 ,21.1 ,无为
58330,31.72 ,118.12 ,18.5 ,含山
58331,31.73 ,118.37 ,23.2 ,和县
58333,31.95 ,118.85 ,24.4 ,江宁
58334,31.33 ,118.38 ,16.5 ,芜湖
58335,31.57 ,118.50 ,13.6 ,当涂
58336,31.70 ,118.52 ,20.1 ,马鞍山
58337,31.08 ,118.18 ,27.3 ,繁昌
58338,31.15 ,118.58 ,20.3 ,芜湖县
58339,31.32 ,118.88 ,15.3 ,高淳
58340,31.67 ,119.03 ,17.5 ,溧水
58341,31.98 ,119.58 ,9.3 ,丹阳
58342,31.75 ,119.55 ,10.1 ,金坛
58343,31.77 ,119.93 ,5.8 ,常州
58344,31.95 ,119.17 ,27.1 ,句容
58345,31.43 ,119.48 ,8.1 ,溧阳
58346,31.37 ,119.82 ,7.7 ,宜兴
58349,31.27 ,120.63 ,5.6 ,吴县
58351,31.88 ,120.27 ,9.7 ,江阴
58352,31.65 ,120.73 ,5.4 ,常熟
58353,31.87 ,120.55 ,7.5 ,张家港
58354,31.58 ,120.32 ,11.4 ,无锡
58356,31.42 ,120.95 ,8.6 ,昆山
58357,31.32 ,120.63 ,10.7 ,苏州
58358,31.07 ,120.43 ,18.7 ,吴县东山
58359,31.15 ,120.63 ,9.0 ,吴江
58360,31.90 ,121.20 ,5.5 ,海门
58361,31.12 ,121.38 ,9.1 ,上海县
58362,31.40 ,121.48 ,8.2 ,上海
58364,31.20 ,121.70 ,8.8 ,川沙
58365,31.38 ,121.25 ,8.2 ,嘉定
58366,31.62 ,121.45 ,8.9 ,崇明
58367,31.17 ,121.43 ,7.0 ,龙华
58369,31.05 ,121.77 ,8.7 ,南汇
58374,31.50 ,121.80 ,10.6 ,陈家镇
58376,31.12 ,122.20 ,10.1 ,引水船
58377,31.47 ,121.10 ,6.3 ,太仓
58401,30.78 ,115.40 ,103.6 ,罗山
58402,30.73 ,115.67 ,125.9 ,英山
58404,30.45 ,115.25 ,46.8 ,浠水
58407,30.25 ,115.05 ,20.6 ,黄石
58408,30.23 ,115.43 ,31.7 ,蕲春县
58409,30.07 ,115.93 ,23.8 ,黄梅
58414,30.43 ,116.28 ,38.8 ,太湖
58415,30.63 ,116.58 ,35.8 ,潜山
58416,30.42 ,116.65 ,16.6 ,怀宁
58417,30.17 ,116.13 ,53.5 ,宿松
58418,30.13 ,116.70 ,20.8 ,望江
58419,30.10 ,117.02 ,23.0 ,东至
58420,30.72 ,117.22 ,34.9 ,枞阳
58421,30.63 ,117.87 ,32.7 ,青阳
58423,30.48 ,117.78 ,643.2 ,九华山
58424,30.53 ,117.05 ,19.6 ,安庆
58426,30.30 ,118.13 ,194.8 ,太平
58427,30.67 ,117.48 ,39.4 ,贵池
58428,30.28 ,117.48 ,65.0 ,石台
58429,30.97 ,117.78 ,37.8 ,铜陵
58431,30.85 ,118.32 ,13.9 ,南陵
58432,30.68 ,118.40 ,36.6 ,泾县
58433,30.93 ,118.75 ,34.0 ,宣城
58435,30.30 ,118.53 ,218.4 ,旌德
58436,30.62 ,118.98 ,89.0 ,宁国
58437,30.13 ,118.15 ,1836.3 ,黄山
58438,30.08 ,118.58 ,193.4 ,绩溪
58441,30.88 ,119.42 ,46.8 ,广德
58442,31.13 ,119.18 ,16.7 ,郎汐
58443,30.98 ,119.88 ,8.2 ,长兴
58445,30.35 ,119.42 ,1502.9 ,天目山
58446,30.63 ,119.68 ,21.6 ,安吉
58447,30.17 ,119.22 ,167.1 ,昌化
58448,30.23 ,119.70 ,42.6 ,临安
58449,30.05 ,119.95 ,11.0 ,富阳
58450,30.85 ,120.08 ,4.1 ,湖州
58451,30.85 ,120.90 ,4.4 ,嘉善
58452,30.78 ,120.73 ,6.0 ,嘉兴
58453,30.00 ,120.63 ,8.0 ,绍兴
58454,30.53 ,120.07 ,31.0 ,德清
58455,30.52 ,120.68 ,11.1 ,海宁
58456,30.63 ,120.53 ,11.2 ,桐乡
58457,30.23 ,120.17 ,43.2 ,杭州
58458,30.52 ,120.93 ,5.7 ,海盐
58459,30.20 ,120.32 ,9.4 ,萧山
58460,30.90 ,121.17 ,8.6 ,金山
58461,31.15 ,121.12 ,7.6 ,青浦
58462,31.00 ,121.25 ,8.5 ,松江
58463,30.93 ,121.45 ,9.3 ,奉贤
58464,30.62 ,121.08 ,10.9 ,平湖
58467,30.20 ,121.27 ,8.1 ,慈溪
58468,30.07 ,121.15 ,13.0 ,余姚
58472,30.73 ,122.45 ,81.2 ,嵊泗
58473,30.73 ,122.82 ,123.5 ,嵊山
58477,30.03 ,122.10 ,36.6 ,定海
58484,30.25 ,122.18 ,18.1 ,岱山
58500,29.85 ,115.20 ,47.0 ,阳新
58501,29.85 ,115.55 ,20.1 ,武穴
58502,29.73 ,116.00 ,37.1 ,九江
58503,29.68 ,115.67 ,22.8 ,瑞昌
58506,29.58 ,115.98 ,1165.3 ,庐山
58507,29.28 ,115.10 ,76.5 ,武安
58508,29.33 ,115.77 ,42.9 ,德安
58509,29.05 ,115.82 ,36.8 ,永修
58510,29.73 ,116.23 ,40.9 ,湖口
58512,29.90 ,116.55 ,25.1 ,彭泽
58514,29.45 ,116.05 ,35.6 ,星子
58517,29.27 ,116.20 ,35.9 ,都昌
58518,29.08 ,116.37 ,23.4 ,棠荫
58519,29.00 ,116.68 ,40.8 ,波阳
58520,29.85 ,117.72 ,139.4 ,祁门
58523,29.93 ,117.93 ,227.3 ,黟县
58527,29.30 ,117.20 ,62.9 ,景德镇
58529,29.27 ,117.85 ,82.0 ,婺源
58530,29.87 ,118.43 ,169.9 ,歙县
58531,29.72 ,118.28 ,145.3 ,屯溪
58534,29.78 ,118.18 ,170.3 ,休宁
58537,29.47 ,118.40 ,154.1 ,开化
58542,29.82 ,119.68 ,44.8 ,桐庐
58543,29.62 ,119.02 ,172.2 ,淳安
58544,29.48 ,119.27 ,87.2 ,建德
58546,29.47 ,119.88 ,85.2 ,浦江
58547,29.03 ,119.18 ,66.1 ,龙游
58548,29.22 ,119.47 ,48.3 ,兰溪
58549,29.12 ,119.65 ,64.7 ,金华
58550,29.70 ,120.25 ,12.7 ,诸暨
58553,30.03 ,120.88 ,15.6 ,上虞
58555,29.52 ,120.88 ,112.3 ,新昌
58556,29.60 ,120.82 ,107.6 ,嵊县
58557,29.32 ,120.07 ,75.0 ,义乌
58558,29.27 ,120.22 ,91.9 ,东阳
58559,29.17 ,120.98 ,59.5 ,天台
58562,29.87 ,121.57 ,5.2 ,鄞县
58563,29.97 ,121.75 ,22.8 ,镇海
58565,29.67 ,121.42 ,8.6 ,奉化
58566,29.47 ,121.87 ,4.1 ,象山
58567,29.30 ,121.43 ,28.3 ,宁海
58568,29.12 ,121.37 ,7.1 ,三门
